Company,Page_Number,Keyword,Frequency,Context_Snippet,Sentiment,Confidence,Greenwashing_Risk
JDE Peet's,9,Scope 3,1,"1% reduction in Scope 1 & 2 (baseline 2020) sources) • 88.8% responsibly sourced • 10% reduction in Scope 3 (baseline 2020) • 2,076,444 MWh energy use Our strategy green coffee (in line with Social and commu",NEGATIVE,0.8585683107376099,Low
JDE Peet's,54,Scope 3,1, innovation pipeline to guarantee attractiveness for retailers – Support customers to deliver their Scope 3 environmental targets Strategic Merger & acquisition (M&A) integration Failure to develop an accura,NEGATIVE,0.9981001019477844,Low
JDE Peet's,57,Scope 3,2,"loss, resource scarcity and – Delivery of Farmer Support programme initiatives to contribute to GHG scope 3 emissions in the value chain, will negatively impact JDE Peet’s reduction with third-party assuranc",NEGATIVE,0.9997380375862122,Low
JDE Peet's,57,deforestation,2,"adation, Cautious Medium – Roadmap and delivery of SBTi target on GHG Scope 1+2 reduction including deforestation, biodiversity loss, resource scarcity and – Delivery of Farmer Support programme initiatives to con",NEGATIVE,0.8152234554290771,Low
JDE Peet's,61,Scope 3,2," by working to prevent deforestation. Footprint Reduce absolute Forest, Land and Agriculture (FLAG) Scope 3 GHG 2030 2.0 % 1.0 % n/a emissions (coffee) by 30.3% (vs 2020) identifying critical supply chain is",NEGATIVE,0.9450237154960632,Low
JDE Peet's,61,deforestation,4," 2020) 2030 31 % 30.3 % 20.9 % Grounds programme, we address these challenges by working to prevent deforestation. Footprint Reduce absolute Forest, Land and Agriculture (FLAG) Scope 3 GHG 2030 2.0 % 1.0 % n/a emi",NEGATIVE,0.8476279973983765,Low
JDE Peet's,62,regenerative agriculture,1," information Supplementary information COMMON GROUNDS TARGETS Read more: Read more: ESRS E4 Scaling Regenerative Agriculture, ESRS S2 Farmers' livelihoodss ESRS E1 Climate action, ESRS E4 Stopping Deforestation, ESRS E5 Pack",NEGATIVE,0.9873019456863403,Low
JDE Peet's,62,deforestation,1,"ng Regenerative Agriculture, ESRS S2 Farmers' livelihoodss ESRS E1 Climate action, ESRS E4 Stopping Deforestation, ESRS E5 Packaging and circularity Read more: ESRS S1 Human capital management & Diversity, equity ",NEGATIVE,0.7195000052452087,Low
JDE Peet's,70,regenerative agriculture,1,y of coffee Scaling regenerative Potential positive: Implementation of Opportunity impact: Positive regenerative agriculture regenerative agricultural practices agricultural outcomes Actual negative: Economic vulnerability o,NEGATIVE,0.9489160776138306,Low
JDE Peet's,70,deforestation,3,S E4 - Nature Risk impact: Scarcity of coffee; Financial impact Climate and nature Actual negative: Deforestation Stopping deforestation due to deforestation regulation degradation Risk impact: Soil degradation; W,NEGATIVE,0.9720759391784668,Low
JDE Peet's,72,deforestation,1,"ssing insights derived from standard industry research The insights gained from regular stakeholder deforestation and advancing recyclable, and consumer data to better understand evolving engagements are also inst",POSITIVE,0.9714723229408264,High
JDE Peet's,73,Scope 3,1,"a study on we work to develop programmes designed to improve As our suppliers are a key part of our Scope 3 value distribution and return on household labour, access to services and resources that can streng",POSITIVE,0.9183656573295593,High
JDE Peet's,73,regenerative agriculture,1,"ges. Today, farmers already face challenges arising diversified markets, and effective risk driving regenerative agriculture, supporting farmer from shifting weather patterns, prolonged dry management are vital. prosperity a",POSITIVE,0.9982951283454895,High
JDE Peet's,74,regenerative agriculture,1,"uld be leveraged as cultural strengths and areas for improvement. The surveys and advisory support. regenerative agriculture, addressing climate proxies for biodiversity metrics. Linked to one of our insights informed our re",POSITIVE,0.9985628724098206,High
JDE Peet's,74,deforestation,2,", and We continued to strengthen employee engagement How we engage uncertainty, particularly around deforestation- participate in a more resilient and equitable coffee through a combination of ongoing practices an",POSITIVE,0.9987597465515137,High
