Company,Page_Number,Keyword,Frequency,Context_Snippet
JDE Peet's,9,Scope 3,1,"1% reduction in Scope 1 & 2 (baseline 2020) sources) • 88.8% responsibly sourced • 10% reduction in Scope 3 (baseline 2020) • 2,076,444 MWh energy use Our strategy green coffee (in line with Social and commu"
JDE Peet's,54,Scope 3,1, innovation pipeline to guarantee attractiveness for retailers – Support customers to deliver their Scope 3 environmental targets Strategic Merger & acquisition (M&A) integration Failure to develop an accura
JDE Peet's,57,Scope 3,2,"loss, resource scarcity and – Delivery of Farmer Support programme initiatives to contribute to GHG scope 3 emissions in the value chain, will negatively impact JDE Peet’s reduction with third-party assuranc"
JDE Peet's,57,deforestation,2,"adation, Cautious Medium – Roadmap and delivery of SBTi target on GHG Scope 1+2 reduction including deforestation, biodiversity loss, resource scarcity and – Delivery of Farmer Support programme initiatives to con"
JDE Peet's,61,Scope 3,2," by working to prevent deforestation. Footprint Reduce absolute Forest, Land and Agriculture (FLAG) Scope 3 GHG 2030 2.0 % 1.0 % n/a emissions (coffee) by 30.3% (vs 2020) identifying critical supply chain is"
JDE Peet's,61,deforestation,4," 2020) 2030 31 % 30.3 % 20.9 % Grounds programme, we address these challenges by working to prevent deforestation. Footprint Reduce absolute Forest, Land and Agriculture (FLAG) Scope 3 GHG 2030 2.0 % 1.0 % n/a emi"
JDE Peet's,62,regenerative agriculture,1," information Supplementary information COMMON GROUNDS TARGETS Read more: Read more: ESRS E4 Scaling Regenerative Agriculture, ESRS S2 Farmers' livelihoodss ESRS E1 Climate action, ESRS E4 Stopping Deforestation, ESRS E5 Pack"
JDE Peet's,62,deforestation,1,"ng Regenerative Agriculture, ESRS S2 Farmers' livelihoodss ESRS E1 Climate action, ESRS E4 Stopping Deforestation, ESRS E5 Packaging and circularity Read more: ESRS S1 Human capital management & Diversity, equity "
JDE Peet's,70,regenerative agriculture,1,y of coffee Scaling regenerative Potential positive: Implementation of Opportunity impact: Positive regenerative agriculture regenerative agricultural practices agricultural outcomes Actual negative: Economic vulnerability o
JDE Peet's,70,deforestation,3,S E4 - Nature Risk impact: Scarcity of coffee; Financial impact Climate and nature Actual negative: Deforestation Stopping deforestation due to deforestation regulation degradation Risk impact: Soil degradation; W
JDE Peet's,72,deforestation,1,"ssing insights derived from standard industry research The insights gained from regular stakeholder deforestation and advancing recyclable, and consumer data to better understand evolving engagements are also inst"
JDE Peet's,73,Scope 3,1,"a study on we work to develop programmes designed to improve As our suppliers are a key part of our Scope 3 value distribution and return on household labour, access to services and resources that can streng"
JDE Peet's,73,regenerative agriculture,1,"ges. Today, farmers already face challenges arising diversified markets, and effective risk driving regenerative agriculture, supporting farmer from shifting weather patterns, prolonged dry management are vital. prosperity a"
JDE Peet's,74,regenerative agriculture,1,"uld be leveraged as cultural strengths and areas for improvement. The surveys and advisory support. regenerative agriculture, addressing climate proxies for biodiversity metrics. Linked to one of our insights informed our re"
JDE Peet's,74,deforestation,2,", and We continued to strengthen employee engagement How we engage uncertainty, particularly around deforestation- participate in a more resilient and equitable coffee through a combination of ongoing practices an"
JDE Peet's,77,Scope 3,1,. This mainly impacts the Consolidated Financial Statements and upstream and disclosures related to Scope 3 and green coffee No prior-period reporting errors affect the preparation downstream elements of the
JDE Peet's,77,deforestation,1,"s other topics, our green coffee sourcing and and assumptions in calculating certain sustainability deforestation practices. KEY FIGURES data. These estimates and associated assumptions are Refer to the Our value "
JDE Peet's,78,circular economy,1,"e change 79 Nature: biodiversity and ecosystems, and water and marine resources 89 Resource use and circular economy 106 EU taxonomy 116"
JDE Peet's,79,Scope 3,2,"Channels chain (e.g., cultivation of green coffee, suppliers, Consumers Target Reduce absolute FLAG Scope 3 GHG emissions (coffee) transportation). End-of-life by 30.3% (versus 2020) Cost increase of Carbon "
JDE Peet's,80,Scope 3,4,both 1.5°C and 4°C purpose and future value creation. Our approach is • Commit to reducing absolute Scope 3 (industrial TRANSITION PLAN scenarios to represent the full breadth of possible unified under our C
JDE Peet's,80,deforestation,2,"borative engagement. Our Assess, year30 Address, Progress approach drives continuous • Commit to no deforestation across our primary improvement, empowering all smallholder farmers to deforestation-linked commodit"
JDE Peet's,81,Scope 3,3,"spatial data to assess regional climate risk impacted. In a 4°C scenario – in other words, strong • Scope 3: Addressing the coffee value chain, which and associated transition plans, the following policies u"
JDE Peet's,81,regenerative agriculture,1," activities are reviewed sustainability, recycling, and climate impact, aligning for farmers, using regenerative agriculture and includes sectors such as agriculture, industry and annually, with financial impacts updated to "
JDE Peet's,81,circular economy,1,"mpacted in many regions and competition for while building resilience throughout the value chain. a circular economy, and drive sustainability. model. Finally, we map these risks and opportunities land would likely i"
JDE Peet's,81,deforestation,2,"ntly at risk. For detailed choices. Through solutions like Cafitesse, our low- impact of historical deforestation in key commodities, and can already be seen today. This resulted in the climate scenario analysis a"
JDE Peet's,83,Scope 3,3,"d compared Number Total estimated annual CO₂e to 2024. of savings in metric tonnes initiatives CO₂e Scope 3 Being 10 845,000 Product innovation In 2025, for Scope 3, actions covered both FLAG and researched "
JDE Peet's,83,regenerative agriculture,2,"rom suppliers committed suitable, starting in the U.K. and rolling out to other Implemented 3 4,000 Regenerative agriculture and deforestation to SBTi. Among our Tier 1 suppliers, 52 have set SBTi markets. Our coffee value c"
JDE Peet's,83,deforestation,2,"ble, starting in the U.K. and rolling out to other Implemented 3 4,000 Regenerative agriculture and deforestation to SBTi. Among our Tier 1 suppliers, 52 have set SBTi markets. Our coffee value chain represents 54"
JDE Peet's,84,regenerative agriculture,1,"ederation to standardise sector-wide reporting shaping the future of coffee, including World Coffee regenerative agriculture in coffee. We remain focused on enhancing resilience and methodologies, enabling consistent measure"
JDE Peet's,86,Scope 3,17,"acts. When not available, residual mix factors are used; if these are not available, location-based Scope 3: Indirect emissions, value chain (tCO₂e) 4,785,349 5,156,901 5,316,674 4,584,735 3,852,797 531,667 "
JDE Peet's,88,Scope 3,18,Other information Supplementary information ACCOUNTING POLICIES (CONTINUATION) Methods to calculate Scope 3 data Scope 3 Reporting Calculation Methodology Explanation Scope 3.1: Purchased goods and services 
JDE Peet's,88,deforestation,1,"accounted for via FAO country-level commodity data, adjusted for recent primary data on Spend based deforestation-free coffee purchases. Laminate packaging relies on supplier-specific data. Emissions for raw mater"
JDE Peet's,89,deforestation,10,"NE RESOURCES SETTING THE SCENE OUR TARGETS AND PROGRESS OUR IMPACTS, RISKS AND OPPORTUNITIES Target Deforestation-free green coffee by 2025 Progress TARGET 2025: 100% MATERIAL TOPIC: STOPPING DEFORESTATION Value c"
JDE Peet's,90,regenerative agriculture,1,ements Other information Supplementary information OUR TARGETS AND PROGRESS MATERIAL TOPIC: SCALING REGENERATIVE AGRICULTURE Value chain IRO Title Description Upstream Own operations Downstream Time horizon Target Working to
JDE Peet's,92,deforestation,1,ment The table on the right outlines the key environmental Terrestrial ecosystem use and use change Deforestation due to farmers encroaching on forested land to expand their farms. pressures and ecosystem-service 
JDE Peet's,94,deforestation,2,"ons, detailed in subsequent chapters. nature, we recognise challenges in maintaining the mitigating deforestation and advancing regenerative relevance of indicators for assessing business impact. Biodiversity offs"
JDE Peet's,96,deforestation,17,"Sustainability statements Financial statements Other information Supplementary information STOPPING DEFORESTATION As coffee is our principal product, our holistic approach commodities that have high carbon footpri"
JDE Peet's,97,deforestation,12,"d costs were shared, rather to select best-in-class partners to deliver our products. commitment to deforestation-free sourcing through the 3. Cease, prevent or mitigate adverse impacts than borne by JDE Peet's al"
